GeneName	SampleID
LOC_Os02g53520	2
LOC_Os02g54010	2
LOC_Os02g54280	2
LOC_Os02g54990	2
LOC_Os02g56210	2
LOC_Os02g56270	2
LOC_Os02g56560	2
LOC_Os02g57390	2
LOC_Os02g57600	2
LOC_Os02g57660	2
LOC_Os02g57690	2
LOC_Os02g57980	2
LOC_Os02g58080	2
LOC_Os02g58110	2
LOC_Os02g58210	2
LOC_Os02g58440	2
LOC_Os02g58490	2
LOC_Os03g01420	2
LOC_Os03g01710	2
LOC_Os03g02100	2
LOC_Os03g02160	2
LOC_Os03g02270	2
LOC_Os03g02310	2
LOC_Os03g02480	2
LOC_Os03g03390	2
LOC_Os03g03550	2
LOC_Os03g03560	2
LOC_Os03g03830	2
LOC_Os03g04050	2
LOC_Os03g04920	2
LOC_Os03g05200	2
LOC_Os03g07180	2
LOC_Os03g07580	2
LOC_Os03g08270	2
LOC_Os03g08550	2
LOC_Os03g08820	2
LOC_Os03g08830	2
LOC_Os03g09100	2
LOC_Os03g10070	2
LOC_Os03g10180	2
LOC_Os03g10400	2
LOC_Os03g10460	2
LOC_Os03g10710	2
LOC_Os03g10800	2
LOC_Os03g10990	2
LOC_Os03g11050	2
LOC_Os03g11210	2
LOC_Os03g11220	2
LOC_Os03g11550	2
LOC_Os03g11580	2
LOC_Os03g11890	2
LOC_Os03g12300	2
LOC_Os03g13190	2
LOC_Os03g13300	2
LOC_Os03g13560	2
LOC_Os03g13614	2
LOC_Os03g14580	2
LOC_Os03g14860	2
LOC_Os03g15040	2
LOC_Os03g15580	2
LOC_Os03g15740	2
LOC_Os03g15810	2
LOC_Os03g15940	2
LOC_Os03g16369	2
LOC_Os03g16400	2
LOC_Os03g16800	2
LOC_Os03g17050	2
LOC_Os03g17084	2
LOC_Os03g17180	2
LOC_Os03g17950	2
LOC_Os03g18070	2
LOC_Os03g19220	2
LOC_Os03g19340	2
LOC_Os03g20340	2
LOC_Os03g20530	2
LOC_Os03g20600	2
LOC_Os03g20670	2
LOC_Os03g21380	2
LOC_Os03g22190	2
LOC_Os03g22350	2
LOC_Os03g22890	2
LOC_Os03g24180	2
LOC_Os03g24339	2
LOC_Os03g24890	2
LOC_Os03g25430	2
LOC_Os03g27350	2
LOC_Os03g27840	2
LOC_Os03g27930	2
LOC_Os03g30790	2
LOC_Os03g31730	2
LOC_Os03g33012	2
LOC_Os03g34300	2
LOC_Os03g37330	2
LOC_Os03g39170	2
LOC_Os03g40110	2
LOC_Os03g43390	2
LOC_Os03g43760	2
LOC_Os03g43800	2
LOC_Os03g44540	2
LOC_Os03g44830	2
LOC_Os03g44900	2
LOC_Os03g45300	2
LOC_Os03g45344	2
LOC_Os03g46710	2
LOC_Os03g46920	2
LOC_Os03g48140	2
LOC_Os03g48600	2
LOC_Os03g49150	2
LOC_Os03g49170	2
LOC_Os03g49230	2
LOC_Os03g49485	2
LOC_Os03g49580	2
LOC_Os03g49640	2
LOC_Os03g50330	2
LOC_Os03g50390	2
LOC_Os03g50810	2
LOC_Os03g51020	2
LOC_Os03g51200	2
LOC_Os03g51230	2
LOC_Os03g51390	2
LOC_Os03g51520	2
LOC_Os03g52700	2
LOC_Os03g53630	2
LOC_Os03g53880	2
LOC_Os03g53920	2
LOC_Os03g53970	2
LOC_Os03g54000	2
LOC_Os03g55300	2
LOC_Os03g55330	2
LOC_Os03g55450	2
LOC_Os03g55704	2
LOC_Os03g56060	2
LOC_Os03g56900	2
LOC_Os03g57160	2
LOC_Os03g57854	2
LOC_Os03g58170	2
LOC_Os03g58250	2
LOC_Os03g58480	2
LOC_Os03g58590	2
LOC_Os03g59340	2
LOC_Os03g59390	2
LOC_Os03g59480	2
LOC_Os03g59680	2
LOC_Os03g59760	2
LOC_Os03g60180	2
LOC_Os03g60240	2
LOC_Os03g61010	2
LOC_Os03g61160	2
LOC_Os03g61220	2
LOC_Os03g61640	2
LOC_Os03g61890	2
LOC_Os03g63140	2
LOC_Os03g63320	2
LOC_Os03g63670	2
LOC_Os03g63730	2
LOC_Os03g63920	2
LOC_Os03g64110	2
LOC_Os04g01490	2
LOC_Os04g02000	2
LOC_Os04g02150	2
LOC_Os04g04254	2
LOC_Os04g08410	2
LOC_Os04g08450	2
LOC_Os04g08740	2
LOC_Os04g14510	2
LOC_Os04g17064	2
LOC_Os04g17700	2
LOC_Os04g28040	2
LOC_Os04g31330	2
LOC_Os04g31340	2
LOC_Os04g31960	2
LOC_Os04g32920	2
LOC_Os04g33110	2
LOC_Os04g33300	2
LOC_Os04g35170	2
LOC_Os04g35700	2
LOC_Os04g36560	2
LOC_Os04g38290	2
LOC_Os04g38570	2
LOC_Os04g39090	2
LOC_Os04g41030	2
LOC_Os04g41040	2
LOC_Os04g41100	2
LOC_Os04g42030	2
LOC_Os04g42270	2
LOC_Os04g42290	2
LOC_Os04g43130	2
LOC_Os04g43140	2
LOC_Os04g43300	2
LOC_Os04g44030	2
LOC_Os04g44320	2
LOC_Os04g44800	2
LOC_Os04g45180	2
LOC_Os04g45190	2
LOC_Os04g45470	2
LOC_Os04g45930	2
LOC_Os04g46320	2
LOC_Os04g46892	2
LOC_Os04g47380	2
LOC_Os04g47860	2
LOC_Os04g47870	2
LOC_Os04g47912	2
LOC_Os04g48160	2
LOC_Os04g49060	2
LOC_Os04g49520	2
LOC_Os04g51060	2
LOC_Os04g51080	2
LOC_Os04g51370	2
LOC_Os04g51710	2
LOC_Os04g52050	2
LOC_Os04g52074	2
LOC_Os04g52180	2
LOC_Os04g52570	2
LOC_Os04g52760	2
LOC_Os04g52940	2
LOC_Os04g53350	2
LOC_Os04g53700	2
LOC_Os04g54340	2
LOC_Os04g54930	2
LOC_Os04g54940	2
LOC_Os04g55040	2
LOC_Os04g55220	2
LOC_Os04g56290	2
LOC_Os04g56530	2
LOC_Os04g57300	2
LOC_Os04g57600	2
LOC_Os04g57790	2
LOC_Os04g59330	2
LOC_Os04g59400	2
LOC_Os05g01020	2
LOC_Os05g01040	2
LOC_Os05g01350	2
LOC_Os05g01540	2
LOC_Os05g01910	2
LOC_Os05g01990	2
LOC_Os05g02240	2
LOC_Os05g02260	2
LOC_Os05g02500	2
LOC_Os05g03060	2
LOC_Os05g03190	2
LOC_Os05g03320	2
LOC_Os05g03440	2
LOC_Os05g05240	2
LOC_Os05g05300	2
LOC_Os05g05480	2
LOC_Os05g06450	2
LOC_Os05g07000	2
LOC_Os05g07130	2
LOC_Os05g08370	2
LOC_Os05g10770	2
LOC_Os05g10810	2
LOC_Os05g11370	2
LOC_Os05g11980	2
LOC_Os05g18770	2
LOC_Os05g22870	2
LOC_Os05g22920	2
LOC_Os05g22990	2
LOC_Os05g23320	2
LOC_Os05g23840	2
LOC_Os05g24020	2
LOC_Os05g27820	2
LOC_Os05g30340	2
LOC_Os05g30420	2
LOC_Os05g31920	2
LOC_Os05g32070	2
LOC_Os05g32360	2
LOC_Os05g32580	2
LOC_Os05g32600	2
LOC_Os05g32610	2
LOC_Os05g33030	2
LOC_Os05g33310	2
LOC_Os05g33440	2
LOC_Os05g34780	2
LOC_Os05g34790	2
LOC_Os05g34900	2
LOC_Os05g36090	2
LOC_Os05g37434	2
LOC_Os05g37500	2
LOC_Os05g38730	2
LOC_Os05g39390	2
LOC_Os05g39730	2
LOC_Os05g41172	2
LOC_Os05g41240	2
LOC_Os05g41500	2
LOC_Os05g41790	2
LOC_Os05g41795	2
LOC_Os05g42220	2
LOC_Os05g43170	2
LOC_Os05g43280	2
LOC_Os05g43520	2
LOC_Os05g43950	2
LOC_Os05g43970	2
LOC_Os05g44380	2
LOC_Os05g45060	2
LOC_Os05g45830	2
LOC_Os05g45930	2
